player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w
AR Patel,33.0,4.0,2.0,20.0,2.0,0.0,36.0,4.0,2.0,34.0,3.0,0.0,22.0,4.0,1.0,11.0,3.0,3.0,29.0,3.0,0.0,28.0,4.0,0.0,28.0,3.0,1.0,13.0,2.0,1.0
Yuvraj Singh,6.0,1.0,1.0,16.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
KK Nair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Finch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP Stoinis,27.0,3.0,1.0,28.0,3.0,0.0,14.0,1.3,0.0,28.0,2.0,1.0,12.0,1.0,0.0,,,,,,,,,,,,,,,
MA Agarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS Rajpoot,37.0,4.0,3.0,25.0,4.0,0.0,17.0,2.0,0.0,14.0,3.0,1.0,14.0,1.0,0.0,,,,,,,,,,,,,,,
MK Tiwary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM Sharma,25.0,4.0,2.0,29.0,2.3,1.0,25.0,4.0,1.0,34.0,3.0,1.0,3.0,1.1,0.0,24.0,4.0,2.0,35.0,4.0,0.0,24.0,3.0,2.0,57.0,4.0,2.0,6.0,1.0,0.0
BB Sran,29.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Tye,17.0,4.0,5.0,34.0,4.0,2.0,34.0,4.0,0.0,35.0,4.0,2.0,12.0,4.0,3.0,9.0,1.0,0.0,,,,,,,,,,,,
AD Nath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
