player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b,m11r,m11b,m12r,m12b,m13r,m13b,m14r,m14b,m15r,m15b,m16r,m16b,m17r,m17b
TA Boult,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,,,,,,
PP Chawla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,
SP Narine,,,1.0,2.0,37.0,19.0,6.0,9.0,1.0,1.0,42.0,17.0,34.0,18.0,16.0,12.0,4.0,4.0,1.0,4.0,0.0,6.0,54.0,19.0,18.0,10.0,0.0,4.0,,,10.0,10.0,,
CR Woakes,,,9.0,8.0,,,1.0,1.0,3.0,5.0,,,18.0,21.0,,,,,6.0,3.0,1.0,3.0,,,8.0,6.0,,,,,,,,
Kuldeep Yadav,,,,,,,,,,,,,4.0,7.0,,,,,,,,,,,,,16.0,15.0,,,,,,
YK Pathan,,,6.0,11.0,,,21.0,17.0,59.0,40.0,11.0,4.0,8.0,9.0,,,,,12.0,14.0,4.0,9.0,0.0,6.0,2.0,3.0,20.0,9.0,0.0,1.0,,,,
G Gambhir,76.0,50.0,19.0,13.0,72.0,52.0,15.0,18.0,14.0,12.0,33.0,29.0,14.0,12.0,62.0,48.0,71.0,53.0,11.0,11.0,24.0,19.0,14.0,16.0,8.0,18.0,21.0,17.0,32.0,21.0,12.0,16.0,,
CA Lynn,93.0,46.0,32.0,28.0,,,,,,,,,,,,,,,,,,,50.0,22.0,84.0,54.0,26.0,15.0,6.0,2.0,4.0,8.0,,
RV Uthappa,,,4.0,3.0,26.0,16.0,68.0,40.0,4.0,2.0,72.0,48.0,11.0,9.0,87.0,49.0,59.0,33.0,53.0,28.0,,,,,0.0,1.0,2.0,4.0,1.0,3.0,1.0,3.0,,
MK Pandey,,,81.0,48.0,25.0,17.0,46.0,36.0,69.0,52.0,24.0,21.0,15.0,16.0,,,5.0,4.0,39.0,30.0,37.0,32.0,4.0,3.0,18.0,23.0,33.0,33.0,,,,,,
SA Yadav,,,17.0,15.0,,,4.0,3.0,7.0,9.0,1.0,1.0,15.0,19.0,,,,,,,30.0,16.0,,,,,,,,,31.0,26.0,,
AS Rajpoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,,
UT Yadav,,,,,,,,,,,,,2.0,4.0,,,,,,,2.0,2.0,,,,,4.0,4.0,,,2.0,3.0,,
C de Grandhomme,,,,,,,0.0,2.0,1.0,2.0,,,0.0,2.0,,,,,18.0,15.0,36.0,19.0,31.0,28.0,11.0,7.0,29.0,16.0,,,0.0,1.0,,
NM Coulter-Nile,,,,,,,,,,,,,2.0,4.0,,,,,,,6.0,5.0,,,,,,,,,6.0,4.0,,
Shakib Al Hasan,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
DM Bravo,,,,,,,,,,,,,,,6.0,5.0,,,,,,,,,,,,,,,,,,
SP Jackson,,,,,,,,,,,,,,,,,12.0,5.0,16.0,17.0,10.0,9.0,,,,,,,,,,,,
IR Jaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,28.0,32.0,,
