player,m1r,m1b,m2r,m2b,m3r,m3b,m4r,m4b,m5r,m5b,m6r,m6b,m7r,m7b,m8r,m8b,m9r,m9b,m10r,m10b
V Kohli,62.0,48.0,28.0,19.0,64.0,51.0,0.0,1.0,10.0,14.0,55.0,48.0,20.0,15.0,6.0,6.0,5.0,9.0,58.0,46.0
AB de Villiers,89.0,49.0,19.0,22.0,29.0,32.0,8.0,6.0,5.0,12.0,3.0,8.0,43.0,28.0,10.0,6.0,10.0,8.0,,
Sarfaraz Khan,,,,,,,,,,,,,,,,,,,,
BB McCullum,49.0,33.0,64.0,44.0,72.0,48.0,33.0,17.0,6.0,6.0,3.0,6.0,6.0,4.0,1.0,4.0,45.0,28.0,1.0,3.0
CR Woakes,9.0,8.0,1.0,1.0,3.0,5.0,18.0,21.0,6.0,3.0,1.0,3.0,8.0,6.0,,,,,,
C de Grandhomme,0.0,2.0,1.0,2.0,0.0,2.0,18.0,15.0,36.0,19.0,31.0,28.0,11.0,7.0,29.0,16.0,0.0,1.0,,
SA Yadav,17.0,15.0,4.0,3.0,7.0,9.0,1.0,1.0,15.0,19.0,30.0,16.0,31.0,26.0,,,,,,
YS Chahal,3.0,7.0,1.0,2.0,0.0,2.0,1.0,2.0,4.0,9.0,4.0,4.0,,,,,,,,
M Vohra,14.0,11.0,34.0,22.0,28.0,23.0,3.0,6.0,95.0,52.0,2.0,4.0,3.0,6.0,25.0,28.0,25.0,18.0,,
A Choudhary,6.0,2.0,15.0,12.0,4.0,6.0,,,,,,,,,,,,,,
Mandeep Singh,24.0,16.0,12.0,10.0,28.0,34.0,0.0,1.0,0.0,3.0,1.0,3.0,8.0,14.0,17.0,13.0,46.0,40.0,52.0,44.0
Washington Sundar,2.0,2.0,1.0,3.0,1.0,3.0,5.0,3.0,0.0,1.0,,,,,,,,,,
P Negi,10.0,8.0,13.0,13.0,10.0,7.0,2.0,3.0,32.0,19.0,3.0,7.0,35.0,23.0,21.0,25.0,5.0,3.0,13.0,6.0
Mohammed Siraj,,,,,,,,,,,,,,,,,,,,
PA Patel,8.0,13.0,33.0,28.0,70.0,45.0,0.0,1.0,25.0,23.0,23.0,18.0,38.0,24.0,52.0,42.0,14.0,9.0,4.0,6.0
TG Southee,7.0,3.0,,,,,,,,,,,,,,,,,,
CJ Anderson,39.0,23.0,0.0,4.0,2.0,5.0,18.0,26.0,41.0,24.0,18.0,14.0,10.0,8.0,6.0,6.0,3.0,6.0,3.0,9.0
