player,m1r,m1o,m1w,m2r,m2o,m2w,m3r,m3o,m3w,m4r,m4o,m4w,m5r,m5o,m5w,m6r,m6o,m6w,m7r,m7o,m7w,m8r,m8o,m8w,m9r,m9o,m9w,m10r,m10o,m10w,cf,econamy,performanceIndex
SS Iyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
CH Morris,26.0,4.0,4.0,33.0,4.0,0.0,39.0,3.0,0.0,13.0,2.0,0.0,36.0,4.0,0.0,25.0,3.0,1.0,34.0,3.0,0.0,41.0,4.0,2.0,43.0,4.0,0.0,43.0,4.0,0.0,0.9,9.52,0.7296000000000001
RR Pant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
GJ Maxwell,12.0,4.0,1.0,15.0,3.0,2.0,21.0,2.0,1.0,8.0,2.0,1.0,15.0,2.0,0.0,21.0,3.0,0.0,13.0,2.0,1.0,4.0,1.0,0.0,22.0,2.0,2.0,5.0,1.0,1.0,1.3,6.19,1.1162
G Gambhir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
JJ Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
C Munro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
V Shankar,12.0,1.0,0.0,10.0,1.0,0.0,22.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.67,11.0,0.516
DT Christian,27.0,3.0,1.0,23.0,3.0,1.0,21.0,3.0,0.0,18.0,2.0,1.0,10.0,2.0,2.0,33.0,4.0,0.0,34.0,4.0,2.0,12.0,2.0,1.0,35.0,3.0,2.0,17.0,3.0,1.0,1.7,7.94,1.4012
NV Ojha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Mohammed Shami,36.0,4.0,2.0,40.0,3.0,0.0,16.0,2.0,0.0,36.0,4.0,1.0,37.0,4.0,2.0,31.0,4.0,0.0,26.0,2.0,0.0,29.0,3.5,1.0,36.0,4.0,1.0,53.0,4.0,1.0,1.11,9.86,0.8908000000000001
A Mishra,23.0,4.0,1.0,23.0,2.0,0.0,37.0,4.0,1.0,27.0,2.0,1.0,26.0,3.0,0.0,26.0,2.0,0.0,46.0,4.0,0.0,33.0,4.0,0.0,23.0,4.0,2.0,30.0,4.0,1.0,0.9,8.91,0.7418000000000001
R Tewatia,17.0,2.0,1.0,14.0,3.0,0.0,24.0,4.0,1.0,29.0,4.0,0.0,36.0,4.0,2.0,18.0,3.0,3.0,26.0,3.0,0.0,6.0,1.0,0.0,11.0,1.0,0.0,23.0,2.0,0.0,1.0,7.56,0.8488
HR Patel,33.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,11.0,1.58
Avesh Khan,23.0,4.0,1.0,36.0,4.0,2.0,29.0,4.0,2.0,28.0,4.0,0.0,,,,,,,,,,,,,,,,,,,1.75,7.25,1.455
S Nadeem,23.0,4.0,1.0,13.0,2.0,2.0,9.0,0.5,0.0,28.0,2.0,0.0,21.0,3.0,1.0,12.0,2.0,1.0,34.0,4.0,2.0,22.0,2.0,0.0,43.0,4.0,1.0,27.0,2.0,0.0,1.2,9.1,0.978
TA Boult,29.0,4.0,2.0,30.0,4.0,1.0,34.0,3.5,1.0,26.0,3.0,1.0,39.0,4.0,2.0,29.0,4.0,2.0,33.0,4.0,1.0,21.0,3.0,2.0,44.0,4.0,2.0,48.0,4.0,0.0,2.1,8.89,1.7022000000000002
Liam Plunkett,17.0,4.0,3.0,24.0,4.0,0.0,52.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,8.46,0.8308
